customer,order_id,status
"Arjun Kumar",11,delivered
"Arjun Kumar",8,delivered
"Arjun Kumar",7,delivered
"Arjun Kumar",4,delivered
"Arjun Kumar",2,delivered
"Arjun Kumar",1,delivered
"Divya Rao",23,delivered
"Divya Rao",22,delivered
"Divya Rao",19,delivered
"Divya Rao",17,delivered
"Divya Rao",16,delivered
"Divya Rao",14,delivered
"Divya Rao",13,delivered
"Karthik Reddy",34,delivered
"Karthik Reddy",32,delivered
"Karthik Reddy",31,delivered
"Karthik Reddy",29,delivered
"Karthik Reddy",28,delivered
"Karthik Reddy",26,delivered
"Meera Shah",47,delivered
"Meera Shah",46,delivered
"Meera Shah",44,delivered
"Meera Shah",43,delivered
"Meera Shah",41,delivered
"Meera Shah",38,delivered
"Meera Shah",37,delivered
"Rohan Deshmukh",59,delivered
"Rohan Deshmukh",58,delivered
"Rohan Deshmukh",56,delivered
"Rohan Deshmukh",53,delivered
"Rohan Deshmukh",52,delivered
"Rohan Deshmukh",49,delivered
"Nisha Patel",71,delivered
"Nisha Patel",68,delivered
"Nisha Patel",67,delivered
"Nisha Patel",64,delivered
"Nisha Patel",62,delivered
"Nisha Patel",61,delivered
"Sourav Ghosh",83,delivered
"Sourav Ghosh",82,delivered
"Sourav Ghosh",79,delivered
"Sourav Ghosh",77,delivered
"Sourav Ghosh",76,delivered
"Sourav Ghosh",74,delivered
"Sourav Ghosh",73,delivered
"Anjali Kumari",94,delivered
"Anjali Kumari",92,delivered
"Anjali Kumari",91,delivered
"Anjali Kumari",89,delivered
"Anjali Kumari",88,delivered
"Anjali Kumari",86,delivered
"Rajesh Singh",145,delivered
"Rajesh Singh",107,delivered
"Rajesh Singh",106,delivered
"Rajesh Singh",104,delivered
"Rajesh Singh",103,delivered
"Rajesh Singh",101,delivered
"Rajesh Singh",98,delivered
"Rajesh Singh",97,delivered
"Vikram Malhotra",119,delivered
"Vikram Malhotra",118,delivered
"Vikram Malhotra",116,delivered
"Vikram Malhotra",113,delivered
"Vikram Malhotra",112,delivered
"Vikram Malhotra",109,delivered
"Priya Sharma",131,delivered
"Priya Sharma",128,delivered
"Priya Sharma",127,delivered
"Priya Sharma",124,delivered
"Priya Sharma",122,delivered
"Priya Sharma",121,delivered
"Amit Verma",143,delivered
"Amit Verma",142,delivered
"Amit Verma",139,delivered
"Amit Verma",137,delivered
"Amit Verma",136,delivered
"Amit Verma",134,delivered
"Amit Verma",133,delivered
"Sneha Iyer",NULL,NULL
"Farhan Ali",NULL,NULL
"Pooja Nair",NULL,NULL
"Kabir Joshi",NULL,NULL
"Ritu Sen",NULL,NULL
"Manoj Tiwari",NULL,NULL
"Ishaan Chawla",NULL,NULL
"Simran Kaur",NULL,NULL
